,SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
40485,398038,Cash loans,M,N,Y,0,180000.0,177237.0,21163.5,153000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Married,House / apartment,0.010032,-11606,-3786,-5501.0,-3042,,1,1,0,1,1,0,Core staff,2.0,2,2,FRIDAY,9,0,0,0,0,0,0,Self-employed,,0.5672609333313136,0.6092756673894402,0.1129,0.0806,0.9881,,,0.11,0.0948,0.375,,0.0456,,0.1201,,0.0743,0.1261,0.0606,0.9876,,,0.1208,0.1034,0.375,,0.0372,,0.0917,,0.0534,0.1239,0.0873,0.9876,,,0.12,0.1034,0.375,,0.0464,,0.133,,0.081,,block of flats,0.0802,Panel,No,2.0,0.0,2.0,0.0,-631.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0
8171,159884,Cash loans,F,N,Y,0,112500.0,817560.0,30951.0,675000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.009657,-20339,365243,-3021.0,-271,,1,0,0,1,0,0,,2.0,2,2,TUESDAY,11,0,0,0,0,0,0,XNA,,0.4111716927566945,0.7490217048463391,0.0124,0.0,0.9767,0.7076,0.0,0.0,0.0517,0.0417,0.0833,0.0121,0.0134,0.0114,0.0,0.0,0.0084,0.0,0.9747,0.7190000000000001,0.0,0.0,0.0345,0.0417,0.0833,0.0081,0.0147,0.0083,0.0,0.0,0.0125,0.0,0.9767,0.7115,0.0,0.0,0.0517,0.0417,0.0833,0.0124,0.0137,0.0116,0.0,0.0,reg oper account,block of flats,0.0116,"Stone, brick",No,0.0,0.0,0.0,0.0,-879.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
10217,174264,Cash loans,F,Y,N,0,180000.0,229500.0,21177.0,229500.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.018209,-18303,-4301,-5379.0,-1849,11.0,1,1,0,1,0,1,Managers,2.0,3,3,THURSDAY,10,0,0,0,0,0,0,Postal,0.7776145304173788,0.33243892456387797,0.746300213050371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
40598,398817,Cash loans,F,N,N,2,157500.0,454500.0,14661.0,454500.0,Family,State servant,Higher education,Married,House / apartment,0.025164,-12883,-575,-4075.0,-4548,,1,1,0,1,1,0,Accountants,4.0,2,2,SATURDAY,13,0,0,0,0,0,0,Security Ministries,,0.651787890991021,0.4848514754962666,0.1639,0.1164,0.9940000000000001,0.9184,0.0352,0.08,0.069,0.375,0.4167,0.0508,0.132,0.17,0.0077,0.0074,0.16699999999999998,0.1208,0.9940000000000001,0.9216,0.0355,0.0806,0.069,0.375,0.4167,0.052000000000000005,0.1442,0.1771,0.0078,0.0078,0.1655,0.1164,0.9940000000000001,0.9195,0.0354,0.08,0.069,0.375,0.4167,0.0517,0.1342,0.17300000000000001,0.0078,0.0075,reg oper account,block of flats,0.1353,"Stone, brick",No,0.0,0.0,0.0,0.0,-60.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,2.0
5617,141110,Cash loans,F,Y,N,1,675000.0,1792318.5,55764.0,1602000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.018801,-17389,-8093,-4326.0,-947,9.0,1,1,0,1,0,0,Managers,3.0,2,2,THURSDAY,11,0,0,0,0,0,0,Restaurant,0.6975790541989078,0.3843437599109853,0.5154953751603267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-2108.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
6332,146330,Cash loans,M,N,N,0,157500.0,109467.0,11623.5,94500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.035792000000000004,-10663,-3256,-1610.0,-3256,,1,1,0,1,0,0,Laborers,1.0,2,2,FRIDAY,12,0,0,0,0,1,1,Police,0.1320143735394492,0.7093404672870021,0.7838324335199619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
12609,191824,Cash loans,M,N,Y,0,427500.0,156384.0,16969.5,135000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.072508,-12210,-1963,-3491.0,-1685,,1,1,0,1,0,1,Laborers,1.0,1,1,MONDAY,10,0,0,0,0,0,0,Business Entity Type 3,0.3309742888688518,0.6805636843294351,0.15286622915504153,0.3041,0.1821,0.9945,,,0.48,0.2069,0.4583,,,,0.1639,,0.0204,0.3099,0.18899999999999997,0.9945,,,0.4834,0.2069,0.4583,,,,0.1708,,0.0216,0.3071,0.1821,0.9945,,,0.48,0.2069,0.4583,,,,0.1669,,0.0208,,block of flats,0.2381,Panel,No,0.0,0.0,0.0,0.0,-801.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0
20604,249460,Cash loans,F,N,N,0,76500.0,247500.0,15948.0,247500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.028663,-9566,-1548,-338.0,-1376,,1,1,0,1,0,0,,1.0,2,2,SATURDAY,10,0,0,0,0,0,0,Insurance,0.4899160943832055,0.3970393933478703,0.6754132910917112,0.0825,,0.9732,,,0.0,0.1379,0.1667,,,,,,0.0116,0.084,,0.9732,,,0.0,0.1379,0.1667,,,,,,0.0123,0.0833,,0.9732,,,0.0,0.1379,0.1667,,,,,,0.0119,,,0.0578,,No,0.0,0.0,0.0,0.0,-1880.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
28167,305503,Cash loans,M,Y,Y,0,292500.0,622413.0,31909.5,495000.0,Family,Working,Secondary / secondary special,Married,House / apartment,0.010147,-11034,-1803,-832.0,-3005,28.0,1,1,0,1,0,0,Core staff,2.0,2,2,MONDAY,14,0,0,0,0,1,1,Agriculture,0.412784975379609,0.4976566024831212,0.3723336657058204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,4.0,0.0,-1381.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
5651,141385,Cash loans,F,N,Y,0,90000.0,157500.0,11902.5,157500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.011657,-21790,-3424,-4876.0,-5075,,1,1,1,1,0,0,Cooking staff,2.0,1,1,MONDAY,16,0,0,0,0,0,0,Business Entity Type 1,,0.5446781415402999,0.7091891096653581,0.0237,0.0282,0.9717,,,0.0,0.1034,0.0833,,0.0233,,0.0265,,0.037000000000000005,0.0242,0.0292,0.9717,,,0.0,0.1034,0.0833,,0.0239,,0.0276,,0.0392,0.0239,0.0282,0.9717,,,0.0,0.1034,0.0833,,0.0238,,0.027000000000000003,,0.0378,,block of flats,0.0289,Others,No,0.0,0.0,0.0,0.0,-3084.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
42146,408194,Cash loans,F,N,Y,0,135000.0,594000.0,30456.0,594000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.014519999999999996,-18702,-1011,-609.0,-2248,,1,1,0,1,0,0,Laborers,2.0,2,2,TUESDAY,13,0,0,0,0,0,0,Other,,0.6157270701746601,0.5460231970049609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-540.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
9115,166501,Cash loans,F,N,Y,0,180000.0,1066320.0,40329.0,900000.0,Unaccompanied,Pensioner,Higher education,Married,House / apartment,0.04622,-17017,365243,-6949.0,-539,,1,0,0,1,1,0,,2.0,1,1,TUESDAY,19,0,0,0,0,0,0,XNA,0.5802119378159593,0.6157684615639765,0.6626377922738201,0.0495,0.047,0.9737,0.6396,0.0049,0.0,0.1034,0.125,0.1667,0.040999999999999995,0.0403,0.0403,0.0,0.0,0.0504,0.0488,0.9737,0.6537,0.005,0.0,0.1034,0.125,0.1667,0.042,0.0441,0.042,0.0,0.0,0.05,0.047,0.9737,0.6444,0.005,0.0,0.1034,0.125,0.1667,0.0417,0.040999999999999995,0.040999999999999995,0.0,0.0,reg oper account,block of flats,0.0317,"Stone, brick",No,2.0,0.0,2.0,0.0,-6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
29357,313859,Cash loans,M,Y,N,1,247500.0,900000.0,39775.5,900000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.025164,-17520,-6232,-4971.0,-1055,3.0,1,1,1,1,1,0,Managers,3.0,2,2,WEDNESDAY,12,0,0,0,0,0,0,Trade: type 7,0.41556887800364384,0.6829975008984215,0.6144143775673561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-622.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
27550,300993,Cash loans,F,N,Y,0,148500.0,568800.0,23908.5,450000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.020246,-12464,-478,-2337.0,-1676,,1,1,1,1,1,0,Laborers,2.0,3,3,MONDAY,9,0,0,0,0,0,0,Business Entity Type 1,,0.15271693185293286,0.2608559142068693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-718.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,3.0
20996,252382,Cash loans,M,N,Y,0,135000.0,312840.0,24714.0,247500.0,Unaccompanied,Commercial associate,Incomplete higher,Single / not married,House / apartment,0.006207,-9581,-496,-7014.0,-2264,,1,1,0,1,0,1,,1.0,2,2,TUESDAY,16,0,0,0,0,0,0,Business Entity Type 3,,0.6983008594115157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,7.0
33472,344229,Cash loans,F,N,Y,1,175500.0,441000.0,40446.0,441000.0,Unaccompanied,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.025164,-12623,-1212,-4937.0,-4946,,1,1,1,1,0,0,Cooking staff,3.0,2,2,FRIDAY,11,0,0,0,0,1,1,Self-employed,,0.4052762706119841,0.2032521136204725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-819.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,8.0
35900,362682,Cash loans,F,N,Y,0,108000.0,1057266.0,44923.5,945000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.007114,-21426,365243,-3293.0,-1199,,1,0,0,1,0,0,,2.0,2,2,MONDAY,14,0,0,0,0,0,0,XNA,0.6429868118999063,0.5909850336804,0.5744466170995097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1963.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
44046,421827,Cash loans,F,N,Y,0,112500.0,522396.0,33516.0,472500.0,"Spouse, partner",Working,Secondary / secondary special,Married,House / apartment,0.016612000000000002,-16783,-1679,-2828.0,-320,,1,1,1,1,0,0,Sales staff,2.0,2,2,THURSDAY,13,0,0,0,0,0,0,Self-employed,,0.3033588052009492,0.4596904504249018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-512.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,2.0
8216,160180,Cash loans,F,Y,Y,2,157500.0,509400.0,28575.0,450000.0,Unaccompanied,Working,Higher education,Married,House / apartment,0.010032,-11472,-1719,-5417.0,-3670,10.0,1,1,0,1,0,1,,4.0,2,2,SUNDAY,8,0,0,0,0,0,0,Business Entity Type 3,0.5169571266557144,0.65499700818929,0.3774042489507649,0.1474,0.1733,0.9816,0.7484,0.0,0.16,0.1379,0.3333,0.375,0.0,0.1202,0.1549,0.0,0.0,0.1502,0.1798,0.9816,0.7583,0.0,0.1611,0.1379,0.3333,0.375,0.0,0.1313,0.1614,0.0,0.0,0.1489,0.1733,0.9816,0.7518,0.0,0.16,0.1379,0.3333,0.375,0.0,0.1223,0.1577,0.0,0.0,reg oper account,block of flats,0.1672,Panel,No,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0
377,102562,Cash loans,F,N,Y,0,157500.0,539100.0,26064.0,450000.0,Unaccompanied,Working,Higher education,Civil marriage,House / apartment,0.009334,-16385,-7273,-8296.0,-5085,,1,1,0,1,0,0,High skill tech staff,2.0,2,2,SATURDAY,12,0,0,0,0,0,0,Business Entity Type 2,0.9035448370520164,0.6010151485582824,0.5884877883422673,,0.1043,0.9796,0.7212,0.0161,0.0,0.2759,0.1667,0.2083,0.0396,0.1,0.114,0.0,0.0,,0.1082,0.9796,0.7321,0.0162,0.0,0.2759,0.1667,0.2083,0.0405,0.1093,0.1188,0.0,0.0,,0.1043,0.9796,0.7249,0.0162,0.0,0.2759,0.1667,0.2083,0.0402,0.1018,0.1161,0.0,0.0,reg oper account,block of flats,0.0985,Panel,No,1.0,0.0,1.0,0.0,-2214.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
30528,321932,Cash loans,F,Y,N,0,202500.0,272520.0,21528.0,225000.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.005144,-19471,365243,-10393.0,-3016,10.0,1,0,0,1,1,0,,2.0,2,2,SATURDAY,13,0,0,0,0,0,0,XNA,,0.17284738821710166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-368.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
8264,160598,Cash loans,F,N,Y,0,112500.0,315000.0,22918.5,315000.0,Family,Commercial associate,Secondary / secondary special,Married,House / apartment,0.006008,-10106,-73,-10027.0,-2684,,1,1,0,1,0,0,Sales staff,2.0,2,2,SATURDAY,13,0,0,0,0,0,0,Self-employed,0.50082931306249,0.55372460822472,0.4418358231994413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
